id,question,correct_answer,wrong_answers,all_answers,explanation,explain_on,image_url,image_alt,created_at,track
c0d9ea2b-486c-4723-b1f1-d3f990893d0f,"Town X and Town Y are 100 miles apart. At 10:00 AM, a cyclist leaves Town X for Town Y at a speed of 10 mph. At 11:00 AM, a car leaves Town X for Town Y at a speed of 30 mph. At what time will the car overtake the cyclist?",11:30 AM,"[""11:20 AM"",""12:00 PM"",""11:45 AM"",""10:30 AM""]","[""11:30 AM"",""11:20 AM"",""12:00 PM"",""11:45 AM"",""10:30 AM""]","Step 1 (Find the lead): At 11:00 AM, the cyclist has been traveling for 1 hour. Distance $= 10 mph × 1 hour = 10$ miles.
Step 2 (Calculate relative speed): The car is traveling 30 mph and the cyclist 10 mph. The car ""closes the gap"" at a rate of $30 - 10 = 20$ mph.
Step 3 (Calculate catch-up time): Time $= Gap ÷ Relative Speed = 10 miles ÷ 20 mph = 0.5$ hours (30 minutes).
Step 4 (Determine final time): The car started at 11:00 AM. Adding 30 minutes gives 11:30 AM.
Step 5 (Check): At 11:30 AM, cyclist has traveled 1.5 hours $×$ 10 mph = 15 miles. Car has traveled 0.5 hours $×$ 30 mph = 15 miles. They meet.
Final answer: 11:30 AM",always,,,2026-02-16T13:28:35.666363,11plus
d01d6cb4-067c-4e73-a6c9-36bd447b5e57,"If the cost of one sandwich and two drinks is £10, and the cost of two sandwiches and one drink is £11, what is the combined cost of one sandwich and one drink?",£7,"[""£6"",""£8"",""£5"",""£9""]","[""£7"",""£6"",""£8"",""£5"",""£9""]","Step 1 (Set up equations): Let S = Sandwich and D = Drink.
(1) $1S + 2D = 10$
(2) $2S + 1D = 11$
Step 2 (Use the addition method): Add the two equations together: $(1S + 2S) + (2D + 1D) = 10 + 11$.
Step 3 (Simplify): $3S + 3D = 21$.
Step 4 (Divide to find 1 of each): Divide the entire equation by 3. $1S + 1D = 21 ÷ 3 = 7$.
Step 5 (Verification): If $S+D=7$, then in eq(1), $D+(S+D)=10 arrow D+7=10 arrow D=3$. If $D=3$, then $S=4$. $4 + (2 × 3) = 10$. Correct.
Final answer: £7",always,,,2026-02-16T13:28:35.666363,11plus
439c16bc-c61a-409c-b7c2-4d19429c0624,A cube has a face diagonal length of exactly $\sqrt{50}$ cm. What is the volume of this cube in $cm^{3}$?,125,"[""50"",""250"",""100"",""64""]","[""125"",""50"",""250"",""100"",""64""]","Step 1 (Relationship between side and diagonal): In a square face, $s² + s² = d²$ (Pythagoras theorem).
Step 2 (Substitute known diagonal): $2s² = (\sqrt{50})² arrow 2s² = 50$.
Step 3 (Find side length squared): $s² = 25$.
Step 4 (Find side length): $s = \sqrt{25} = 5$ cm.
Step 5 (Calculate volume): Volume $= s × s × s = 5 × 5 × 5 = 125cm³$.
Final answer: 125",always,,,2026-02-16T13:28:35.666363,11plus
021ae134-d5d1-4a9d-a093-52bc68cac1ff,"How many whole numbers between 1 and 100 (inclusive) contain the digit ""7"" at least once?",19,"[""20"",""10"",""11"",""21""]","[""19"",""20"",""10"",""11"",""21""]","Step 1 (Count 7s in the units place): 7, 17, 27, 37, 47, 57, 67, 77, 87, 97 (10 numbers).
Step 2 (Count 7s in the tens place): 70, 71, 72, 73, 74, 75, 76, 77, 78, 79 (10 numbers).
Step 3 (Identify the overlap): The number ""77"" appears in both lists.
Step 4 (Calculate unique total): $10 + 10 - 1 = 19$.
Final answer: 19",always,,,2026-02-16T13:28:35.666363,11plus
cb3aeb0d-6da7-4861-bef4-55b015c9d258,"The ratio of apples to bananas is 2:3. The ratio of bananas to cherries is 4:5. If there are 140 pieces of fruit in total, how many cherries are there?",60,"[""45"",""50"",""35"",""75""]","[""60"",""45"",""50"",""35"",""75""]","Step 1 (Link the ratios): To combine Apples:Bananas (2:3) and Bananas:Cherries (4:5), we need the Banana number to be the same in both. The LCM of 3 and 4 is 12.
Step 2 (Scale the first ratio): $2:3$ becomes $8:12$ (multiplying by 4).
Step 3 (Scale the second ratio): $4:5$ becomes $12:15$ (multiplying by 3).
Step 4 (Create the 3-way ratio): Apples:Bananas:Cherries $= 8:12:15$.
Step 5 (Calculate total parts): $8 + 12 + 15 = 35$ parts.
Step 6 (Find value of 1 part): $140 ÷ 35 = 4$.
Step 7 (Find cherries): Cherries are 15 parts. $15 × 4 = 60$.
Final answer: 60",always,,,2026-02-16T13:28:35.666363,11plus
1ff5f442-7e1c-4c27-a1b8-6b5e98d79d27,"The mean weight of a group of 5 students is 40kg. Two more students join the group, and the new mean weight for all 7 students becomes 42kg. What is the average (mean) weight of the two new students?",47kg,"[""42kg"",""44kg"",""45kg"",""50kg""]","[""47kg"",""42kg"",""44kg"",""45kg"",""50kg""]","Step 1 (Original total weight): $5 students × 40 kg = 200$ kg.
Step 2 (New total weight): $7 students × 42 kg = 294$ kg.
Step 3 (Weight of the new students): Total increase $= 294 - 200 = 94$ kg.
Step 4 (Mean of the two new students): $94 ÷ 2 = 47$ kg.
Step 5 (Check): If the new students average 47kg, they add 7kg each above the old mean. $7 × 2 = 14$ extra kg. Spread that 14kg across all 7 students: $14 ÷ 7 = 2$ kg increase per student. $40 + 2 = 42$. Correct.
47kg",always,,,2026-02-16T13:28:35.666363,11plus
752a2abd-09f4-45d3-9bb5-674c7e41472b,"In a youth club of 50 members, 35 play football and 30 play cricket. What is the difference between the maximum possible number of people who play both and the minimum possible number of people who play both?",15,"[""5"",""10"",""20"",""25""]","[""15"",""5"",""10"",""20"",""25""]","Step 1 (Find the Maximum overlap): The maximum number of people playing both occurs if one group is entirely inside the other. Since 30 is the smaller group, the maximum overlap is 30.
Step 2 (Find the Minimum overlap): The minimum overlap occurs when the groups are spread out as much as possible. Total ""slots"" filled by both = 35 + 30 = 65. Since there are only 50 members, the excess must be people playing both: 65 - 50 = 15.
Step 3 (Calculate the difference): Maximum (30) - Minimum (15) = 15.
Step 4 (Logic Check): If 15 play both, then 20 play only football and 15 play only cricket (Total 50). If 30 play both, then 5 play only football and 15 play neither (Total 50). Both extremes are valid.
Final answer: 15",always,,,2026-02-16T13:36:42.494349,11plus
72282de2-d68c-4baa-86ad-a5dd3d467d55,"A shape is made of 6 identical squares joined side-by-side to form a solid 2x3 rectangle. If the total perimeter of this 2x3 shape is 70cm, what is the area of a single square?",49cm²,"[""36cm²"",""25cm²"",""49cm²"",""64cm²"",""100cm²""]","[""49cm²"",""36cm²"",""25cm²"",""64cm²"",""100cm²""]","Step 1 (Visualizing the grid): A 2x3 grid of squares has a length of 3 side-lengths (3s) and a width of 2 side-lengths (2s).
Step 2 (Perimeter formula): Perimeter = 2 (Length + Width) = 2 (3s + 2s) = 2 * 5s = 10s.
Step 3 (Solving for side length): We are told 10s = 70cm, so the side length of one square (s) is 7cm.
Step 4 (Calculating area): Area of one square = s s = 7cm 7cm = 49cm².
Step 5 (Check): Total perimeter = 7+7+7 (top) + 7+7+7 (bottom) + 7+7 (left) + 7+7 (right) = 21+21+14+14 = 70. Correct.
Final answer: 49cm²",always,,,2026-02-16T13:29:33.238105,11plus
0e612ba9-2a13-4846-82d4-bf168eddbae6,"Alice, Bob, and Charlie share a sum of money. Alice receives 40% of the total. Bob receives 3/4 of the REMAINING money. Charlie receives the final £15. What was the original total sum of money?",£100,"[""£150"",""£120"",""£75"",""£200""]","[""£100"",""£150"",""£120"",""£75"",""£200""]","Step 1 (Alice's share): Alice takes 40%, leaving 60% of the original sum.
Step 2 (Bob's share): Bob takes 3/4 of that 60%. $0.75 × 60% = 45%$.
Step 3 (Charlie's share): Total taken by Alice and Bob = 40% + 45% = 85%. This leaves Charlie with 100% - 85% = 15%.
Step 4 (Setting the equation): We are told Charlie's 15% is equal to £15.
Step 5 (Calculating total): If 15% = £15, then 1% = £1, and 100% = £100.
Step 6 (Check): Alice gets £40. £60 is left. Bob gets 3/4 of £60 = £45. £15 is left for Charlie. Correct.
Final answer: £100",always,,,2026-02-16T13:29:33.238105,11plus
db2278c0-ba60-4eac-9fd1-9aacf0eb2c45,An athlete runs the first 12km of a race at a constant speed of 8 km/h and the final 12km of the race at a constant speed of 12 km/h. What is the average speed for the entire 24km race?,9.6 km/h,"[""10 km/h"",""9.5 km/h"",""9.8 km/h"",""10.2 km/h""]","[""9.6 km/h"",""10 km/h"",""9.5 km/h"",""9.8 km/h"",""10.2 km/h""]","Step 1 (Time for leg 1): Time = Distance / Speed = 12km / 8km/h = 1.5 hours.
Step 2 (Time for leg 2): Time = Distance / Speed = 12km / 12km/h = 1 hour.
Step 3 (Total Time): Total time = 1.5 + 1 = 2.5 hours.
Step 4 (Average Speed): Total Distance / Total Time = 24km / 2.5h.
Step 5 (Calculation): $24 ÷ 2.5$ is the same as $48 ÷ 5 = 9.6$.
Step 6 (Logic check): The average speed must be closer to 8 than 12 because more time was spent running at the slower speed. 9.6 is correctly lower than the midpoint (10).
Final answer: 9.6 km/h",always,,,2026-02-16T13:29:33.238105,11plus
a4129888-4c84-4fe3-b009-71c721432444,How many different two-digit numbers exist where the tens digit is strictly greater than the units digit?,45,"[""50"",""40"",""36"",""55""]","[""45"",""50"",""40"",""36"",""55""]","Step 1 (Systematic list): Let's check by the tens digit.
Step 2 (Tens = 1): 10 (1 number).
Step 3 (Tens = 2): 20, 21 (2 numbers).
Step 4 (Tens = 3): 30, 31, 32 (3 numbers).
Step 5 (Tens = 9): 90, 91, 92, 93, 94, 95, 96, 97, 98 (9 numbers).
Step 6 (Summing): The total is $1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9$.
Step 7 (Calculation): Use the formula $(n × (n+1)) / 2 arrow (9 × 10) / 2 = 45$.
Final answer: 45",always,,,2026-02-16T13:29:33.238105,11plus
6045d34c-df77-42d1-9f46-581e7758a5e5,Light A flashes every 4 seconds. Light B flashes every 7 seconds. They both flash together at exactly 12:00:00 PM. How many times will they flash together again between 12:00:01 PM and 12:10:00 PM inclusive?,21,"[""20"",""22"",""15"",""10""]","[""21"",""20"",""22"",""15"",""10""]","Step 1 (Find synchronized interval): They flash together at multiples of the Least Common Multiple (LCM) of 4 and 7. LCM(4, 7) = 28 seconds.
Step 2 (Determine total duration): 10 minutes = $10 × 60 = 600$ seconds.
Step 3 (Calculate frequency): Divide total time by the interval: $600 ÷ 28$.
Step 4 (Calculation): $600 ÷ 28 = 300 ÷ 14 = 150 ÷ 7 = 21.42...$.
Step 5 (Interpreting result): The lights flash together 21 times within the 600-second window.
Final answer: 21",always,,,2026-02-16T13:29:33.238105,11plus
4d0285d9-fdf8-47e3-b2f3-697ef6319c33,"A cylindrical water tank has a volume of $100cm^{3}$. If the radius of the tank is doubled and the height is halved, what is the volume of the new tank?",200cm³,"[""100cm³"",""400cm³"",""50cm³"",""300cm³""]","[""200cm³"",""100cm³"",""400cm³"",""50cm³"",""300cm³""]","Step 1 (Formula): Volume of a cylinder $V = \pi r² h$.
Step 2 (Apply changes): New radius $R = 2r$. New height $H = 0.5h$.
Step 3 (Substitute): New Volume $= \pi (2r)² (0.5h) = \pi (4r²) (0.5h)$.
Step 4 (Simplify): New Volume $= 2 × (\pi r² h) = 2 × Original Volume$.
Step 5 (Final Result): $2 × 100 = 200$.
Final answer: 200cm³",always,,,2026-02-16T13:29:33.238105,11plus
aff2c31e-09d9-4e31-9623-0569110dd103,"At a stationary shop, 5 pens and 3 pencils cost £2.40. However, 3 pens and 5 pencils cost £1.60. What is the combined cost of 1 pen and 1 pencil?",50p,"[""40p"",""60p"",""45p"",""55p""]","[""50p"",""40p"",""60p"",""45p"",""55p""]","Step 1 (Set up equations):
(1) $5 Pens + 3 Pencils = 240p$
(2) $3 Pens + 5 Pencils = 160p$
Step 2 (Addition method): Add equation (1) and (2) together: $8 Pens + 8 Pencils = 400p$.
Step 3 (Simplification): Divide the entire equation by 8 to find the cost of 1 unit of each.
Step 4 (Calculation): $400p ÷ 8 = 50p$.
Step 5 (Check): If $Pen+Pencil=50p$, then in eq(1): $3(Pen+Pencil) + 2 Pens = 240 arrow 150 + 2 Pens = 240 arrow Pen=45p, Pencil=5p$. Check in eq(2): $3(45)+5(5) = 135+25 = 160$. Correct.
Final answer: 50p",always,,,2026-02-16T13:29:33.238105,11plus
a98b2e12-e9f6-445a-8e0a-db365afb1503,"A solid cuboid measures $2cm \times 3cm \times 4cm$. A $1cm \times 1cm \times 1cm$ cube is removed from the very center of one of the $3 \times 4$ faces, leaving a 1cm deep hole. What is the total surface area of the resulting shape?",56cm²,"[""52cm²"",""51cm²"",""55cm²"",""60cm²""]","[""56cm²"",""52cm²"",""51cm²"",""55cm²"",""60cm²""]","Step 1 (Calculate original SA): $2 × (2 × 3 + 2 × 4 + 3 × 4) = 2 × (6 + 8 + 12) = 2 × 26 = 52cm²$.
Step 2 (Identify area lost): Removing the 1cm cube from the surface removes $1cm × 1cm$ of the original face. $52 - 1 = 51cm²$.
Step 3 (Identify area gained): The ""hole"" creates 5 new interior faces (the bottom of the hole and the 4 side walls of the hole). Area gained $= 5 × (1 × 1) = 5cm²$.
Step 4 (Final Sum): $51 + 5 = 56cm²$.
Step 5 (Shortcut): Effectively, we lost 1 face but gained 5, for a net gain of 4 faces. $52 + 4 = 56$.
Final answer: 56cm²",always,,,2026-02-16T13:29:33.238105,11plus
709fecb2-d7fc-41de-8347-f66fd7148df4,What is the sum of all the factors (divisors) of the number 72?,195,"[""123"",""72"",""180"",""200""]","[""195"",""123"",""72"",""180"",""200""]","Step 1 (List the factor pairs): (1, 72), (2, 36), (3, 24), (4, 18), (6, 12), (8, 9).
Step 2 (Sum the factors): $1+2+3+4+6+8+9+12+18+24+36+72$.
Step 3 (Calculate): $1+2+3+4+6+8 = 24$. $9+12+18+24+36+72 = 171$.
Step 4 (Final Total): $24 + 171 = 195$.
Final answer: 195",always,,,2026-02-16T13:36:42.494349,11plus
40576294-9867-43e4-a391-c2ce2efdde44,"In a sequence, every term after the second is the sum of the two preceding terms. If the first term is 1 and the sixth term is 18, what is the second term?",3,"[""2"",""4"",""5"",""1.5""]","[""3"",""2"",""4"",""5"",""1.5""]","Step 1 (Define terms algebraically): Let $T1=1$ and $T2=x$.
Step 2 (Generate terms):
$T3 = 1 + x$
$T4 = x + (1+x) = 2x + 1$
$T5 = (1+x) + (2x+1) = 3x + 2$
$T6 = (2x+1) + (3x+2) = 5x + 3$
Step 3 (Set the equation): We are told $T6 = 18$, so $5x + 3 = 18$.
Step 4 (Solve for x): $5x = 15$, which means $x = 3$.
Step 5 (Check): Sequence is 1, 3, 4, 7, 11, 18. Correct.
Final answer: 3",always,,,2026-02-16T13:29:33.238105,11plus
ee06242c-af5f-47a6-bf6d-32a21722c0ed,"If three standard fair six-sided dice are rolled simultaneously, what is the probability that the sum of the numbers shown is exactly 4?",1/72,"[""1/36"",""3/216"",""1/54"",""4/216""]","[""1/72"",""1/36"",""3/216"",""1/54"",""4/216""]","Step 1 (Total outcomes): Each die has 6 sides, so $6 × 6 × 6 = 216$ total possible outcomes.
Step 2 (List successful outcomes): To get a sum of 4 with three dice, the combinations can only be:
(1, 1, 2)
(1, 2, 1)
(2, 1, 1)
Step 3 (Counting): There are exactly 3 ways to achieve this.
Step 4 (Calculate probability): $Ways / Total = 3 / 216$.
Step 5 (Simplification): Divide both by 3: $3 ÷ 3 = 1$ and $216 ÷ 3 = 72$.
1/72",always,,,2026-02-16T13:29:33.238105,11plus
1de63894-db84-4255-a59f-6a3e15ef92f7,"If you multiply all the whole numbers from 1 to 25 together ($1 \times 2 \times 3 \times \dots \times 25$), how many zeros will be at the end of the resulting number?",6,"[""5"",""4"",""2"",""10""]","[""6"",""5"",""4"",""2"",""10""]","Step 1 (Identify the source of a zero): A zero at the end of a product is formed by a pair of factors 2 and 5 ($2 × 5 = 10$).
Step 2 (Count the 5s): In the sequence from 1 to 25, there are more 2s than 5s, so the number of zeros depends on the number of 5s.
Step 3 (List the multiples of 5): 5, 10, 15, 20, 25.
Step 4 (Identify hidden 5s): 5 ($1 × 5$), 10 ($2 × 5$), 15 ($3 × 5$), 20 ($4 × 5$), and 25 ($5 × 5$).
Step 5 (Summing the 5s): There is one 5 in 5, 10, 15, and 20, but there are TWO 5s in 25. Total = 1 + 1 + 1 + 1 + 2 = 6.
Step 6 (Conclusion): There are six 5s available to pair with 2s, resulting in 6 zeros.
Final answer: 6",always,,,2026-02-16T13:36:42.494349,11plus
7283c4e3-b815-44e8-8c10-82ac787d6c97,A square is drawn inside a right-angled isosceles triangle. The triangle has a hypotenuse of 12cm. One side of the square lies exactly on the hypotenuse. What is the area of the square?,16cm²,"[""36cm²"",""18cm²"",""12cm²"",""24cm²""]","[""16cm²"",""36cm²"",""18cm²"",""12cm²"",""24cm²""]","Step 1 (Visualize the symmetry): In a right-angled isosceles triangle, if a square sits on the hypotenuse, it divides the hypotenuse into three equal segments.
Step 2 (Geometric Proof): Dropping heights from the square corners to the hypotenuse creates two smaller right-angled isosceles triangles at the ends and one in the middle above the square. The segments along the 12cm hypotenuse are all equal to the side of the square ($s$).
Step 3 (Set the equation): $s + s + s = 12$ cm.
Step 4 (Solve for s): $3s = 12 arrow s = 4$ cm.
Step 5 (Calculate Area): Area = $s × s = 4 × 4 = 16$ cm².
Step 6 (Check): Total hypotenuse is 12. The square side is 4. The area logic for these specific proportions is a standard high-level 11+ geometry challenge.
Final answer: 16cm²",always,,,2026-02-16T13:36:42.494349,11plus
0c527df8-3652-4136-9ee9-9bd88ea6cdef,"Candle A is 20cm tall and burns at a rate of 3cm per hour. Candle B is 15cm tall and burns at a rate of 2cm per hour. If they are lit at the same time, after how many hours will they be exactly the same height?",5,"[""4"",""6"",""3"",""7.5""]","[""5"",""4"",""6"",""3"",""7.5""]","Step 1 (Define the equations): Let $h$ be the number of hours. Height of A $= 20 - 3h$. Height of B $= 15 - 2h$.
Step 2 (Set them equal): $20 - 3h = 15 - 2h$.
Step 3 (Solve for h): Add $3h$ to both sides: $20 = 15 + h$.
Step 4 (Find h): Subtract 15 from both sides: $h = 5$.
Step 5 (Check): After 5 hours, Candle A is $20 - (3 × 5) = 5$cm. Candle B is $15 - (2 × 5) = 5$cm. They are equal.
Final answer: 5",always,,,2026-02-16T13:36:42.494349,11plus
3b040712-66ce-4859-9e08-757c489ad654,"The sum of the ages of a father and his son is currently 40 years. In 5 years’ time, the father will be exactly four times as old as the son. How old is the father now?",35,"[""30"",""32"",""28"",""37""]","[""35"",""30"",""32"",""28"",""37""]","Step 1 (Current state): Let the father’s current age be F and the son’s current age be S. We are told F + S = 40.
Step 2 (Future state): In 5 years, the father will be (F + 5) and the son will be (S + 5).
Step 3 (Setting the ratio): We are told that in 5 years, (F + 5) = 4 * (S + 5). Expanding this gives F + 5 = 4S + 20.
Step 4 (Simplifying): F = 4S + 15.
Step 5 (Substitution): Substitute F into the first equation: (4S + 15) + S = 40.
Step 6 (Solving for S): 5S + 15 = 40, which means 5S = 25, so S = 5.
Step 7 (Solving for F): If S = 5 and the total age is 40, then F = 40 - 5 = 35.
Step 8 (Check): Father is 35, Son is 5. In 5 years, they are 40 and 10. 40 is four times 10. The logic is correct.
Final answer: 35",always,,,2026-02-16T13:25:25.439388,11plus
85621471-fcd6-4b79-963c-5d23edca1a05,"What is the smallest positive whole number that leaves a remainder of 3 when divided by 4, a remainder of 4 when divided by 5, and a remainder of 5 when divided by 6?",59,"[""60"",""61"",""58"",""119""]","[""59"",""60"",""61"",""58"",""119""]","Step 1 (Identifying the pattern): Notice that in every case, the remainder is exactly 1 less than the divisor (4 - 3 = 1; 5 - 4 = 1; 6 - 5 = 1).
Step 2 (Mathematical deduction): This means that if we were to add 1 to our mystery number, it would be perfectly divisible by 4, 5, and 6 without any remainder.
Step 3 (Finding the common multiple): We need to find the Least Common Multiple (LCM) of 4, 5, and 6.
Step 4 (LCM Calculation): Multiples of 6: 6, 12, 18, 24, 30, 36, 42, 48, 54, 60. 60 is the first number in this list divisible by both 4 and 5.
Step 5 (Adjusting for the remainder): Our mystery number plus 1 equals 60. Therefore, the number is 60 - 1 = 59.
Step 6 (Check): 59 / 4 = 14 rem 3. 59 / 5 = 11 rem 4. 59 / 6 = 9 rem 5. The conditions are met.
Final answer: 59",always,,,2026-02-16T13:25:25.439388,11plus
